Player,Team,Min,G,MPG,OPM,DPM
J.J. Barea,dal,1440,72,20,-0.2000000,-3.0000000
Devin Harris,dal,1140,76,15,-0.3558640,-0.3439808
Dorian Finney-Smith,dal,944,78,12,-1.9437114,0.1680281
Salah Mejri,dal,936,78,12,-3.0403261,2.7618897
Dwight Powell,dal,390,78,5,-1.2794545,0.9884970
Maxi Kleiber,dal,234,78,3,-2.0000000,-1.0000000
Paul Millsap,den,2541,77,33,0.6598895,2.6405957
Gary Harris,den,2356,76,31,1.8228105,-1.5826182
Nikola Jokic,den,2340,78,30,3.7527490,2.3177180
Jamal Murray,den,1872,78,24,0.5255762,-1.5092635
Will Barton,den,1778,77,23,0.3708619,-0.8665528
Wilson Chandler,den,1764,63,28,-0.2310339,-1.1290774
Mason Plumlee,den,1560,78,20,-0.0053949,1.6299099
Jameer Nelson,den,1500,75,20,-0.1537663,-1.8989550
Emmanuel Mudiay,den,1440,72,20,-0.4324490,-1.6285816
Juan Hernangomez,den,780,78,10,-0.1861173,-0.3130440
Kenneth Faried,den,760,76,10,0.1568523,-0.3992257
Malik Beasley,den,390,78,5,-1.4163600,-1.4696773
Darrell Arthur,den,365,73,5,-1.2700440,0.6040750
Trey Lyles,den,234,78,3,-1.3641142,0.0834285
Avery Bradley,det,2432,76,32,0.2949973,-1.1899995
Tobias Harris,det,2387,77,31,0.6236992,-0.0906313
Andre Drummond,det,2340,78,30,-1.0757095,2.5303316
Reggie Jackson,det,2128,76,28,1.1884439,-2.2325563
Jon Leuer,det,1925,77,25,-1.3995382,0.3841609
Stanley Johnson,det,1872,78,24,-1.4364700,0.1853864
Ishmael Smith,det,1716,78,22,-0.2942857,-0.7646629
Langston Galloway,det,1560,78,20,-0.1197701,-1.3195428
Anthony Tolliver,det,1170,78,15,-0.5983766,-0.7666666
Boban Marjanovic,det,780,78,10,-0.8949705,0.8409637
Luke Kennard,det,658,78,8,-1.3890500,-2.0092230
Reggie Bullock,det,350,70,5,-0.6849068,-0.2275773
Henry Ellenson,det,234,78,3,-2.6331112,0.2683325
Eric Moreland,det,128,64,2,-1.5000000,-1.0000000
Klay Thompson,gsw,2574,78,33,2.2228203,-1.0945950
Stephen Curry,gsw,2574,78,33,7.5153046,0.0911079
Draymond Green,gsw,2496,78,32,1.7044296,4.4543457
Kevin Durant,gsw,2244,66,34,4.3456416,1.2955445
Andre Iguodala,gsw,1848,77,24,0.5971720,0.7877289
Zaza Pachulia,gsw,1386,77,18,-1.4745655,2.4032681
Shaun Livingston,gsw,1248,78,16,-1.8825977,0.0003817
Nick Young,gsw,1110,74,15,0.3642645,-2.1721160
David West,gsw,912,76,12,-2.4392059,2.4578259
Omri Casspi,gsw,876,73,12,-1.1340061,-0.0839267
Patrick McCaw,gsw,780,78,10,-1.5809224,-0.8539009
JaVale McGee,gsw,750,75,10,-1.6848814,0.9637626
Damian Jones,gsw,390,78,5,-2.2372217,0.0673685
Jordan Bell,gsw,276,78,4,-1.8673680,1.3955297
Kevon Looney,gsw,216,72,3,-1.2895774,0.6090834
James Harden,hou,2730,78,35,6.9169888,-0.3908895
Trevor Ariza,hou,2652,78,34,-0.0353490,0.7160084
Chris Paul,hou,2310,77,30,5.5105314,0.7244176
Eric Gordon,hou,2130,71,30,0.9636719,-1.4744879
Ryan Anderson,hou,2072,74,28,0.9232187,-1.2777399
P.J. Tucker,hou,1950,78,25,-1.0998986,0.9736745
Clint Capela,hou,1848,77,24,-0.9731815,1.8207293
Luc Mbah A Moute,hou,1322,77,17,-2.5054569,1.4864315
Nene Hilario,hou,1184,74,16,-2.0723569,1.6948869
Tarik Black,hou,624,78,8,-2.1486959,0.9567993
Troy Williams,hou,624,78,8,-2.1178324,0.1154928
Chinanu Onuaku,hou,234,78,3,-1.9472556,1.4621335
Victor Oladipo,ind,2508,76,33,1.1799152,0.2289401
Myles Turner,ind,2464,77,32,-0.5615872,2.1980565
Thaddeus Young,ind,2156,77,28,-0.8977214,1.3581294
Cory Joseph,ind,1950,78,25,-0.0499779,-1.0787642
Darren Collison,ind,1850,74,25,0.9703574,-1.9688991
Lance Stephenson,ind,1782,77,23,-2.0189667,-1.0953642
Bojan Bogdanovic,ind,1716,78,22,-0.5681586,-2.8490329
Domantas Sabonis,ind,1560,78,20,-2.9274879,1.1340023
Glenn Robinson III,ind,1180,59,20,-1.0682652,-0.6033561
TJ Leaf,ind,1170,78,15,-1.8717608,-0.5881004
Al Jefferson,ind,876,73,12,-2.3208971,0.1233373
Ike Anigbogu,ind,234,78,3,-3.2527270,0.3025568
Joseph Young,ind,234,78,3,-1.0528957,-1.8412398
DeAndre Jordan,lac,2496,78,32,0.6446912,3.3501129
Blake Griffin,lac,2312,68,34,2.3386543,0.8245562
Austin Rivers,lac,2310,77,30,-0.0354211,-1.6753833
Danilo Gallinari,lac,2310,70,33,2.0564923,-0.5005072
Patrick Beverley,lac,2072,74,28,0.9321820,0.2772968
Louis Williams,lac,2028,78,26,2.7604408,-2.6572003
Milos Teodosic,lac,1872,78,24,-1.0000000,-1.7000000
Sam Dekker,lac,1420,71,20,-0.0430987,-0.5185428
Willie Reed,lac,1078,77,14,-2.1391234,0.9635334
Wesley Johnson,lac,637,78,8,-1.8968530,1.3596777
Montrezl Harrell,lac,390,78,5,-0.6042750,-0.0953841
Sindarius Thornwell,lac,390,78,5,-1.5896978,-0.0827749
Brice Johnson,lac,365,73,5,-1.2008189,0.8259918
Kentavious Caldwell-Pope,lal,2508,76,33,1.2771623,-0.5723900
Brandon Ingram,lal,2340,78,30,-1.1820980,-1.2043256
Lonzo Ball,lal,2340,78,30,-0.0930492,-0.6922332
Brook Lopez,lal,1925,77,25,0.2334862,0.9568580
Julius Randle,lal,1848,66,28,-0.6182879,-0.2743616
Jordan Clarkson,lal,1560,78,20,0.0591769,-2.4060750
Luol Deng,lal,1540,77,20,-0.9048107,0.4977160
Larry Nance Jr.,lal,1520,76,20,-1.2468913,1.7824048
Kyle Kuzma,lal,1213,78,16,-1.8157524,-0.9252986
Ivica Zubac,lal,936,78,12,-2.5632598,0.7945622
Tyler Ennis,lal,936,78,12,-0.6543759,-1.1879488
Corey Brewer,lal,390,78,5,-2.1263196,0.5221601
Josh Hart,lal,390,78,5,-1.2444165,-0.9359987
Thomas Bryant,lal,234,78,3,-3.1183691,0.2201913
Marc Gasol,mem,2584,76,34,0.0115238,1.6303242
Mike Conley,mem,2442,74,33,3.8607998,-0.7476527
JaMychal Green,mem,2340,78,30,-1.0108666,0.1688307
James Ennis,mem,1872,78,24,-0.6538315,0.2163981
Ben McLemore,mem,1825,73,25,-0.8868519,-1.2253467
Andrew Harrison,mem,1560,78,20,-0.5907371,-0.1357144
Wayne Selden,mem,1560,78,20,-1.4012753,-0.7440361
Tyreke Evans,mem,1512,63,24,0.2119159,-0.0636823
Chandler Parsons,mem,1340,67,20,-1.2285936,-0.1654032
Brandan Wright,mem,972,54,18,-1.5075126,0.6737796
Deyonta Davis,mem,390,78,5,-2.5450730,0.8946255
Dillon Brooks,mem,390,78,5,-2.2395172,-1.0626391
Wade Baldwin,mem,390,78,5,-3.2591131,0.1765107
Rade Zagorac,mem,269,78,3,-0.5152338,-0.2710814
Ivan Rabb,mem,234,78,3,-2.3267863,-0.3345689
Goran Dragic,mia,2464,77,32,1.6295158,-1.2392099
Hassan Whiteside,mia,2464,77,32,-1.5006850,2.9456174
Dion Waiters,mia,2280,76,30,0.1186330,-0.8620629
James Johnson,mia,2079,77,27,-0.6816057,1.5788924
Rodney McGruder,mia,1716,78,22,-0.3218962,-0.9040917
Justise Winslow,mia,1704,71,24,-1.7304559,0.4705665
Josh Richardson,mia,1694,77,22,-0.5642039,0.1299481
Tyler Johnson,mia,1606,73,22,0.3480811,-0.1885617
Kelly Olynyk,mia,1520,76,20,0.0003457,1.1982782
Wayne Ellington,mia,1295,76,17,0.3495081,-1.7386768
Bam Adebayo,mia,624,78,8,-2.0881371,-0.2774085
Okaro White,mia,234,78,3,-2.0125360,-0.0215222
Giannis Antetokounmpo,mil,2808,78,36,2.2528031,2.2276633
Khris Middleton,mil,2555,73,35,0.9089994,0.5303400
Malcolm Brogdon,mil,2184,78,28,1.4073472,-0.6438849
Tony Snell,mil,2184,78,28,-0.5280010,-0.6342342
Matthew Dellavedova,mil,1848,77,24,-0.4200203,-1.5319717
Greg Monroe,mil,1794,78,23,0.3159568,1.0503008
