Player,Team,Min,G,MPG,OPM,DPM,Playing
Ben McLemore,mem,1825,73,22.73969877806195,-1.8427849637681157,-1.1756924516908214,1
Brandan Wright,mem,972,54,16.84164951989026,-1.4423268861454048,1.3102740740740741,0
Chandler Parsons,mem,1340,67,20.43560606060606,0.3184408333333334,-0.5653141666666667,1
Deyonta Davis,mem,390,78,6.703857566765579,-2.455988872403561,1.179989243323442,1
Dillon Brooks,mem,390,78,19.072401334074485,-2.459734319066148,-0.10803077821011668,1
Ivan Rabb,mem,234,78,2.9910536779324053,-2.4023720675944333,-0.4053368787276342,1
James Ennis III,mem,1872,78,24,-0.6538315,0.2163981,1
JaMychal Green,mem,2340,78,29.140444269190326,-1.24283207150368,-0.3380490536277603,1
Jarell Martin,mem,0,0,7.537630835686991,-3.716393034557236,0.7420013714902808,1
Kobi Simmons,mem,0,0,0.04950495049504951,-3.898670198019802,-1.946980693069307,1
Marc Gasol,mem,2584,76,34.70994794679005,-0.3936829284750337,1.676492645074224,1
Mario Chalmers,mem,936,78,18.068783068783063,-1.8949059374999995,-0.10421841964285714,1
Mike Conley,mem,2442,74,32.18108056510118,2.8948452462772054,-1.667269587628866,0
Rade Zagorac,,269,78,3,-0.5152338,-0.2710814,1
Tyreke Evans,mem,1512,63,27.58691641833404,2.548626781609195,-0.27114264367816093,0
Vince Hunter,,0,0,0.024752475247524754,-1.210659405940594,-0.19204087722772278,1
Wade Baldwin IV,por,390,78,5,-3.2591131,0.1765107,1
Wayne Selden,mem,1560,78,19.615606936416185,-1.4378374759152215,-0.7973372832369942,0
AJ Hammons,mia,0,0,0,-2.0250082,1.5086331,1
Bam Adebayo,mia,624,78,11.277639062283257,-1.4537684769038703,0.6159747191011237,1
DeAndre Liggins,mil,0,0,6.899880335061828,-2.853567316513762,0.7606040481651376,1
Derrick Walton Jr.,mia,0,0,0,-0.76368546,-2.10903,1
Dion Waiters,mia,2280,76,30.558648860958368,-1.2893036135113904,-1.613771759622938,1
Goran Dragic,mia,2464,77,31.766398599485747,1.2955375923190546,-1.08833452732644,1
Hassan Whiteside,mia,2464,77,29.68248337028825,-2.0351912416851445,1.9002313747228383,0
James Johnson,mia,2079,77,27.63914946841776,-0.395774674796748,1.8288180487804877,1
Jordan Mickey,mia,0,0,0.6192660550458714,-1.4460007155963301,-0.22365624403669723,1
Josh Richardson,mia,1694,77,28.649224806201556,-1.5419345566860467,0.5565218386627908,1
Justise Winslow,mia,1704,71,23.246357969130248,-2.3736525202520253,1.2016950945094511,1
Kelly Olynyk,mia,1520,76,20.49121891844897,-0.05288934272300469,1.4113982159624412,1
Larry Drew II,,0,0,0,-1.5691321,-2.6452844,1
Okaro White,mia,234,78,4.425287356321839,-1.8866689655172415,-0.18407086206896553,0
Rodney McGruder,mia,1716,78,22,-0.3218962,-0.9040917,0
Tyler Johnson,mia,1606,73,25.146576728499163,-0.2581445615514334,-0.021653330522765593,0
Udonis Haslem,mia,0,0,0.06535947712418301,-3.7580108823529415,0.1194723725490196,1
Wayne Ellington,mia,1295,76,18.97624039133473,2.0667491037735854,-1.771073962264151,1
Brandon Rush,,0,0,0,-2.1155844,-0.96389794,1
D.J. Wilson,mil,780,78,9.574766355140186,-2.5478249532710278,-0.6111252336448598,1
Gary Payton II,mil,0,0,0,0.85476476,0.2132874,1
Gerald Green,,0,0,0,-1.255797,-1.5053519,1
Giannis Antetokounmpo,mil,2808,78,37.09747572815534,4.504716747572815,2.0136141816920943,1
Greg Monroe,phx,1794,78,22.09780961564954,0.2264384074941452,0.5320262295081968,1
Jabari Parker,mil,725,29,25,0.688293,-1.0807616,0
James Young,,0,0,0,-0.81340492,-0.54057181,1
Jason Terry,mil,929,78,11.836497545008184,-1.6209783142389524,-0.5178382160392798,0
Joel Anthony,,0,0,0,-2.5176663,0.79548573,1
John Henson,mil,740,74,17.38885426214482,-2.4415359303391386,2.1936839138405135,1
Khris Middleton,mil,2555,73,36.238756788105654,1.8233034270047974,-1.2643111720356408,1
Malcolm Brogdon,mil,2184,78,29.274030327214682,1.0423572226656024,-1.8795231045490821,1
Matthew Dellavedova,mil,1848,77,22.63157894736842,-1.1658028289473685,-2.2736655921052633,0
Mirza Teletovic,mil,1110,74,15.217147192716237,-0.12716380880121383,-2.001913960546282,0
Rashad Vaughn,mil,385,77,5.824675324675324,-1.4158566985645933,-1.406322408293461,1
Sterling Brown,mil,234,78,3.1534971644612475,-1.9084950850661626,-0.6378062381852552,1
Thon Maker,mil,1404,78,18.399354437271523,-1.9743029828109202,0.5433292214357937,1
Tony Snell,mil,2184,78,30.19213216825273,0.6749385679414156,-1.3850423921887711,0
Xavier Munford,,0,0,0,-0.89103246,-0.40418288,1
Aaron Brooks,min,0,0,0.46177872760151234,-0.7389251356238696,-2.273960126582278,1
Amile Jefferson,,0,0,0,-1.8855574,0.12120813,1
Andrew Wiggins,min,2886,78,36.97591903210796,-0.03483221498371334,-1.7613600651465797,1
Anthony Brown,min,0,0,0,-1.9447855,-0.60348094,1
Cole Aldrich,min,234,78,2.980392156862745,-2.3221764705882353,2.5370105882352942,1
Gorgui Dieng,min,1950,78,21.46417112299465,-0.28540385026737963,1.4438771122994654,1
Jamal Crawford,min,1386,77,17.840093323761668,-0.09951286432160807,-3.4884481407035177,1
Jeff Teague,min,2652,78,34.18143738977072,1.171723696145125,-1.36776171579743,1
Jimmy Butler,min,2812,76,37.253971571906355,3.3491665760869567,0.20170095108695651,1
Justin Patton,min,0,0,0,-2.5979106,0.36922765,1
Karl-Anthony Towns,min,2886,78,35.93180511641276,2.7737561703554654,0.29669111334674714,1
Melo Trimble,,0,0,0,-1.9553483,-1.9718809,1
Nemanja Bjelica,min,912,76,13.163082437275985,0.6008045806451613,0.06369322580645154,1
Shabazz Muhammad,min,892,74,11.787878787878787,-1.1597089333333332,-3.146929,1
Taj Gibson,min,1900,76,30.51916194452729,-0.1575988517745302,0.8320309672929715,1
Tyus Jones,min,1170,78,16.012416009348524,0.041921319018404915,-0.31542893660531696,1
Alexis Ajinca,nop,390,78,5,-3.2244711,1.3974653,0
Anthony Davis,nop,2700,75,35.37313432835821,2.466206343283582,2.066112910447761,1
Cheick Diallo,nop,674,78,8.68976464148878,-3.589940229885057,0.363905829228243,1
Cliff Alexander,,0,0,0,-1.8249519,-0.020562574,1
Dante Cunningham,nop,1950,78,23.854799400074988,-1.102908530183727,-0.5996027559055118,1
Darius Miller,nop,780,78,15.599493831066122,0.5772381192660551,-1.7714566055045873,1
DeMarcus Cousins,nop,2550,75,35.044955967476746,2.0281778249510123,2.6324605486610055,1
E'Twaun Moore,nop,1925,77,29.7909932377344,1.1052313282336579,-1.5346170723226702,1
Frank Jackson,nop,0,0,0,-2.6134546,-2.3348839,0
Ian Clark,nop,1170,78,15.017469996128533,-1.730644599303136,-1.9730862369337978,1
Jordan Crawford,,780,78,10.585661080074487,-0.039869459962756065,-1.8563467411545622,1
Jrue Holiday,nop,2304,72,35.28817733990148,0.9571201530612244,-0.5679928890306122,1
Martell Webster,,0,0,0,-1.5458474,-0.96092242,1
Omer Asik,nop,0,0,1.1328671328671327,-3.634549650349651,0.7570748251748254,1
Rajon Rondo,nop,2156,77,26.957466063348416,-0.67971657239819,-0.6947433823529412,1
Solomon Hill,nop,525,21,25,-0.8408142,0.708614,0
Tony Allen,nop,1776,74,19.906444784193813,-2.57082871927555,0.5989553040103492,0
Courtney Lee,nyk,2496,78,32.14111922141119,1.0271949999999999,-0.19728273722627734,1
Damyean Dotson,nyk,390,78,6.05025439614389,-1.497280349013657,-1.549490971168437,1
Doug McDermott,nyk,1125,75,20.153200115841297,0.1796076020851434,-1.6126897046046913,1
Enes Kanter,nyk,1560,78,23.229166666666664,1.9099055803571425,-0.17707522321428573,1
Frank Ntilikina,nyk,624,78,13.93092328581127,-2.2103828411405297,0.141216700610998,1
Jarrett Jack,nyk,0,0,14.793026886383348,-1.8266758022549872,-1.107915958369471,1
