Date,Home,Home Score,Away,Away Score,Proj. Home Spread,Proj. Away Spread,Proj. Total,Home Spread,Away Spread,Total,Home Spread Diff,Away Spread Diff,Total Diff,Spread Bet,Total Bet,Act. Home Score,Act. Away Score,Act. Home Diff,Act. Away Diff,Act. Total,Spread Result,Total Result
10/17/2017,Cleveland Cavaliers,110.76985813175983,Boston Celtics,103.39403627625838,-7.375821855501456,7.375821855501456,214.16389440801825,-4.5,4.5,214.5,2.8758218555014565,-2.8758218555014565,-0.33610559198177725,Cleveland Cavaliers,Under,102.0,99.0,3.0,-3.0,201.0,Loss,Win
10/17/2017,Golden State Warriors,120.26230099843687,Houston Rockets,110.89074201506716,-9.371558983369725,9.371558983369725,231.15304301350403,-9.0,9.0,230.0,0.3715589833697237,-0.3715589833697237,1.1530430135040322,Golden State Warriors,Over,121.0,122.0,-1.0,1.0,243.0,Loss,Win
10/18/2017,Orlando Magic,101.16244930494905,Miami Heat,99.78332972848949,-1.3791195764595583,1.3791195764595583,200.94577903343853,3.5,-3.5,206.0,4.879119576459559,-4.879119576459559,-5.054220966561446,Orlando Magic,Under,116.0,109.0,7.0,-7.0,225.0,Win,Loss
10/18/2017,Detroit Pistons,100.37082600250088,Charlotte Hornets,102.23813247317015,1.8673064706692768,-1.8673064706692768,202.60895847567105,-3.0,3.0,203.5,-4.867306470669277,4.867306470669277,-0.8910415243289549,Charlotte Hornets,Under,102.0,90.0,12.0,-12.0,192.0,Loss,Win
10/18/2017,Indiana Pacers,107.71199750442008,Brooklyn Nets,102.91666202015051,-4.795335484269573,4.795335484269573,210.62865952457062,-3.0,3.0,217.5,1.7953354842695717,-1.7953354842695717,-6.871340475429378,Indiana Pacers,Under,140.0,131.0,9.0,-9.0,271.0,Win,Loss
10/18/2017,Washington Wizards,110.43303982747702,Philadelphia 76ers,104.1546236564818,-6.278416170995214,6.278416170995214,214.5876634839588,-6.5,6.5,217.5,-0.2215838290047856,0.2215838290047856,-2.9123365160411936,Philadelphia 76ers,Under,120.0,115.0,5.0,-5.0,235.0,Win,Loss
10/18/2017,Boston Celtics,102.31510549170788,Milwaukee Bucks,102.4005325756733,0.08542708396542764,-0.08542708396542764,204.71563806738118,-2.5,2.5,204.0,-2.585427083965428,2.585427083965428,0.7156380673811782,Milwaukee Bucks,Over,100.0,108.0,-8.0,8.0,208.0,Win,Win
10/18/2017,Memphis Grizzlies,98.3039569014597,New Orleans Pelicans,98.68264763753186,0.3786907360721585,-0.3786907360721585,196.98660453899154,-2.0,2.0,205.5,-2.3786907360721585,2.3786907360721585,-8.513395461008487,New Orleans Pelicans,Under,103.0,91.0,12.0,-12.0,194.0,Loss,Win
10/18/2017,Dallas Mavericks,98.86230763805784,Atlanta Hawks,93.51020699138796,-5.352100646669868,5.352100646669868,192.37251462944585,-5.5,5.5,198.0,-0.14789935333013204,0.14789935333013204,-5.627485370554184,Atlanta Hawks,Under,111.0,117.0,-6.0,6.0,228.0,Win,Loss
10/18/2017,Utah Jazz,100.80044103532278,Denver Nuggets,95.57528928855619,-5.225151746766599,5.225151746766599,196.3757303238789,-2.5,2.5,204.5,2.7251517467665995,-2.7251517467665995,-8.12426967612106,Utah Jazz,Under,106.0,96.0,10.0,-10.0,202.0,Win,Win
10/18/2017,San Antonio Spurs,100.03333686915407,Minnesota Timberwolves,99.09934171706459,-0.9339951520894658,0.9339951520894658,199.13267858621865,-1.5,1.5,203.5,-0.5660048479105342,0.5660048479105342,-4.3673214137813545,Minnesota Timberwolves,Under,107.0,99.0,8.0,-8.0,206.0,Loss,Loss
10/18/2017,Phoenix Suns,105.8168368247438,Portland Trail Blazers,107.35640301810513,1.5395661933612956,-1.5395661933612956,213.1732398428489,1.5,-1.5,218.5,-0.03956619336129563,0.03956619336129563,-5.326760157151057,Portland Trail Blazers,Under,76.0,124.0,-48.0,48.0,200.0,Win,Win
10/18/2017,Sacramento Kings,104.02386406222747,Houston Rockets,111.52110485936504,7.4972407971375645,-7.4972407971375645,215.54496892159256,7.5,-7.5,218.5,0.0027592028624354725,-0.0027592028624354725,-2.9550310784074436,Sacramento Kings,Under,100.0,105.0,-5.0,5.0,205.0,Win,Win
