Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Andre Drummond,C,24,DET,25,837,23.0,.570,.008,.498,16.4,35.9,25.8,18.2,2.4,3.1,19.8,20.6,1.6,1.7,3.3,.191,1.1,5.5,6.7,1.8
Jared Dudley,PF,32,PHO,11,166,14.9,.657,.618,.324,3.1,16.0,9.5,21.5,2.0,0.9,15.3,11.4,0.4,0.1,0.5,.148,2.0,-0.6,1.4,0.1
Kris Dunn,PG,23,CHI,20,562,13.3,.481,.190,.130,2.5,16.3,9.1,30.5,3.4,0.9,19.2,25.4,-0.8,0.7,-0.1,-0.007,-2.4,1.4,-1.0,0.1
Kevin Durant,SF,29,GSW,22,757,24.4,.628,.332,.269,1.9,18.3,10.9,24.0,1.1,4.8,14.7,30.0,2.0,1.1,3.1,.196,3.5,1.2,4.7,1.3
Henry Ellenson,PF,21,DET,9,84,10.4,.482,.487,.026,1.3,30.6,15.4,9.3,1.8,0.0,13.2,23.7,-0.1,0.1,0.0,.010,-4.5,-1.2,-5.7,-0.1
Wayne Ellington,SG,30,MIA,24,475,14.1,.616,.904,.103,1.0,9.7,5.4,8.0,1.5,0.2,5.2,16.3,0.9,0.3,1.2,.123,2.9,-1.8,1.1,0.4
Joel Embiid,C,23,PHI,21,635,24.3,.574,.160,.469,8.9,28.8,19.1,18.8,1.1,5.4,16.2,33.5,1.0,1.1,2.1,.160,0.8,2.6,3.4,0.9
James Ennis,SF,27,MEM,24,601,11.7,.629,.387,.294,5.3,11.4,8.4,7.2,1.4,0.8,13.5,12.0,0.9,0.4,1.3,.102,0.2,0.0,0.1,0.3
Tyler Ennis,PG,23,LAL,11,59,11.4,.439,.190,.190,1.8,12.5,7.1,21.8,3.2,1.4,14.9,18.8,0.0,0.1,0.0,.039,-4.6,0.7,-3.9,0.0
Jawun Evans,PG,21,LAC,16,201,8.1,.443,.229,.329,0.5,11.9,6.1,16.4,2.0,0.9,13.0,20.0,-0.2,0.1,0.0,-0.012,-4.3,-1.8,-6.2,-0.2
Tyreke Evans,SG,28,MEM,25,732,22.0,.585,.330,.267,3.5,15.7,9.6,26.3,1.7,1.4,11.5,27.6,1.6,0.7,2.3,.151,4.3,-0.4,3.9,1.1
Kenneth Faried,PF,28,DEN,22,345,20.3,.626,.009,.398,13.5,21.6,17.5,4.1,1.0,2.3,9.9,17.5,1.0,0.3,1.3,.182,0.4,-1.9,-1.5,0.0
Derrick Favors,PF,26,UTA,26,722,19.4,.597,.066,.296,9.4,18.7,13.9,10.8,1.5,3.1,12.2,19.6,1.6,1.1,2.6,.174,0.7,2.2,2.9,0.9
Kay Felder,PG,22,CHI,13,130,4.1,.391,.277,.185,0.8,11.2,5.7,25.3,0.8,0.7,17.6,29.0,-0.5,0.0,-0.5,-0.170,-7.8,-3.6,-11.4,-0.3
Cristiano Felicio,C,25,CHI,20,306,10.3,.622,.000,.310,8.0,12.8,10.3,6.6,0.6,1.1,18.5,11.7,0.3,0.1,0.4,.070,-3.1,-0.5,-3.6,-0.1
Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Raymond Felton,PG,33,OKC,24,401,13.8,.506,.336,.107,1.3,10.5,5.8,21.5,2.1,0.5,8.8,18.4,0.4,0.5,1.0,.118,-1.1,-1.1,-2.2,0.0
Terrance Ferguson,SG,19,OKC,15,103,0.3,.366,.524,.095,2.1,3.4,2.7,1.3,1.4,0.9,12.1,10.4,-0.2,0.1,0.0,-0.022,-6.3,-1.0,-7.3,-0.1
Yogi Ferrell,SG,24,DAL,26,725,9.7,.552,.490,.263,1.0,10.0,5.3,11.0,1.4,0.4,13.2,15.5,0.3,0.5,0.8,.055,-1.2,-0.1,-1.3,0.1
Dorian Finney-Smith,PF,24,DAL,8,94,5.5,.568,.636,.091,5.6,6.0,5.8,8.1,0.0,1.0,23.4,14.3,0.0,0.0,0.0,.001,-2.7,-1.7,-4.4,-0.1
Bryn Forbes,SG,24,SAS,26,450,10.8,.561,.503,.103,1.8,6.7,4.3,7.2,0.9,0.4,6.2,16.2,0.5,0.4,0.9,.097,0.1,-2.2,-2.1,0.0
Evan Fournier,SF,25,ORL,26,845,17.1,.597,.390,.223,1.8,8.9,5.4,15.0,1.6,0.6,11.1,23.1,1.5,0.4,1.9,.107,2.5,-1.8,0.7,0.6
De'Aaron Fox,PG,20,SAC,25,666,10.4,.454,.140,.209,2.2,11.6,6.7,24.7,1.7,1.0,16.3,22.7,-0.7,0.3,-0.5,-0.034,-3.4,-1.4,-4.9,-0.5
Tim Frazier,PG,27,WAS,25,450,11.0,.521,.348,.180,2.0,12.2,7.1,28.7,2.7,0.6,27.8,13.0,0.1,0.5,0.7,.072,-1.8,0.7,-1.2,0.1
Channing Frye,C,34,CLE,24,302,12.2,.610,.542,.060,1.9,20.0,11.4,8.2,1.0,1.4,9.6,13.9,0.4,0.2,0.7,.105,-0.4,-1.1,-1.5,0.0
Markelle Fultz,SG,19,PHI,4,76,3.8,.372,.000,.444,4.2,8.0,6.2,12.9,1.2,1.1,15.7,20.9,-0.2,0.1,-0.1,-0.087,-8.1,-1.5,-9.5,-0.1
Danilo Gallinari,SF,29,LAC,10,313,9.8,.459,.458,.242,0.7,15.7,8.0,13.0,1.1,0.6,9.5,20.5,-0.1,0.1,0.1,.009,-2.2,-2.2,-4.3,-0.2
Langston Galloway,SG,26,DET,23,314,13.9,.551,.681,.101,1.4,13.8,7.4,8.1,1.4,0.8,4.6,18.2,0.5,0.3,0.8,.117,0.9,-1.5,-0.6,0.1
Marc Gasol,C,33,MEM,25,867,18.1,.527,.269,.335,4.1,25.8,14.9,21.9,0.9,4.0,14.3,28.0,0.4,1.0,1.4,.078,-0.5,1.9,1.5,0.8
Pau Gasol,C,37,SAS,26,658,20.6,.582,.246,.290,6.3,28.3,17.4,19.2,0.8,4.3,12.5,19.7,1.5,1.2,2.7,.197,1.2,3.1,4.3,1.1
Rudy Gay,SF,31,SAS,24,555,18.9,.558,.223,.305,6.7,19.8,13.3,12.8,2.2,2.3,13.7,24.8,0.6,1.0,1.6,.142,0.1,1.2,1.3,0.5
Paul George,SF,27,OKC,23,854,17.4,.543,.433,.232,2.3,15.8,8.8,15.0,3.3,1.6,12.8,25.3,0.8,1.6,2.4,.136,1.0,1.4,2.5,1.0
Marcus Georges-Hunt,SG,23,MIN,9,15,8.6,.500,.250,.000,7.7,0.0,3.9,9.6,3.3,0.0,20.0,14.7,0.0,0.0,0.0,.011,-1.6,-1.4,-3.0,0.0
Taj Gibson,PF,32,MIN,26,863,15.7,.606,.084,.307,9.6,19.7,14.6,6.9,1.3,1.5,12.9,14.3,1.7,0.5,2.3,.127,1.2,0.5,1.6,0.8
Manu Ginobili,SG,40,SAS,22,463,10.4,.526,.430,.272,1.7,10.4,6.1,17.5,1.5,0.9,18.8,21.2,-0.1,0.6,0.5,.050,-1.8,-1.0,-2.8,-0.1
Rudy Gobert,C,25,UTA,15,482,18.7,.646,.000,.613,9.6,27.0,18.1,6.2,1.0,6.5,19.0,16.4,0.8,0.9,1.8,.175,-1.6,4.2,2.7,0.6
Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Aaron Gordon,PF,22,ORL,25,842,20.2,.611,.414,.323,4.8,21.1,13.1,10.2,1.4,2.0,9.1,21.5,2.0,0.8,2.8,.158,2.9,0.1,3.0,1.1
Eric Gordon,SG,29,HOU,21,662,13.9,.547,.649,.310,0.7,6.9,3.8,13.0,1.0,1.2,12.3,27.0,0.5,0.7,1.2,.088,0.1,-2.5,-2.5,-0.1
Marcin Gortat,C,33,WAS,25,726,14.7,.549,.000,.283,8.6,24.5,16.6,10.5,1.2,1.9,14.3,14.9,0.8,1.0,1.8,.120,-1.2,2.4,1.2,0.6
Treveon Graham,SG,24,CHO,14,241,9.8,.522,.386,.211,4.8,8.4,6.6,11.7,1.8,0.0,10.1,12.4,0.2,0.2,0.4,.089,-0.8,0.3,-0.5,0.1
Jerami Grant,PF,23,OKC,23,513,15.1,.589,.263,.445,6.1,13.5,9.7,6.3,1.6,3.9,11.4,15.5,0.8,0.8,1.7,.155,-1.1,1.6,0.5,0.3
Jerian Grant,PG,25,CHI,24,581,14.4,.526,.337,.331,2.3,10.0,6.0,31.5,1.6,0.3,14.9,17.9,0.7,0.3,1.0,.084,-0.5,-1.9,-2.4,-0.1
Danny Green,SG,30,SAS,25,710,12.1,.523,.543,.068,2.1,13.4,7.8,10.6,1.9,3.5,13.7,16.7,0.0,1.2,1.2,.082,-0.8,2.1,1.2,0.6
Draymond Green,PF,27,GSW,25,805,16.6,.571,.472,.326,3.9,19.5,12.4,28.2,2.3,3.5,23.6,15.5,1.3,1.4,2.7,.162,1.2,3.2,4.4,1.3
JaMychal Green,PF,27,MEM,13,347,12.8,.576,.276,.210,7.1,17.1,12.1,7.3,0.9,0.5,12.9,17.6,0.4,0.2,0.6,.080,-0.8,-1.3,-2.1,0.0
Jeff Green,PF,31,CLE,26,554,17.1,.593,.235,.357,4.9,12.7,8.9,11.1,1.6,1.1,9.9,20.2,1.3,0.4,1.6,.140,0.8,-1.4,-0.7,0.2
Blake Griffin,PF,28,LAC,19,680,20.7,.542,.329,.388,4.0,21.0,12.3,24.7,1.3,0.8,12.1,30.2,1.3,0.4,1.7,.120,3.0,-1.0,2.0,0.7
Daniel Hamilton,SG,22,OKC,1,4,-10.4,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,0.0,0.0,0.0,-0.237,-14.3,-2.8,-17.2,0.0
Tim Hardaway,SG,25,NYK,21,716,15.7,.534,.479,.237,2.8,11.0,7.0,15.2,1.7,0.7,9.3,23.5,1.0,0.6,1.6,.107,2.7,-0.8,1.9,0.7
James Harden,SG,28,HOU,23,825,30.5,.631,.525,.434,1.9,14.0,8.0,48.1,2.2,1.0,15.3,35.7,4.4,1.2,5.6,.329,10.6,0.7,11.3,2.8
Maurice Harkless,SF,24,POR,24,551,8.5,.490,.336,.207,3.6,11.3,7.5,3.9,1.6,3.0,13.1,11.5,-0.1,0.9,0.8,.073,-3.1,2.6,-0.5,0.2
Montrezl Harrell,C,24,LAC,17,182,23.1,.651,.000,.345,11.9,20.7,16.2,10.3,1.4,3.3,9.5,17.7,0.6,0.1,0.8,.209,2.0,0.2,2.2,0.2
Devin Harris,PG,34,DAL,20,379,14.8,.550,.412,.434,2.0,10.1,5.9,17.1,2.4,0.7,10.0,21.4,0.5,0.4,0.9,.117,0.6,-0.4,0.2,0.2
Gary Harris,SG,23,DEN,23,761,15.9,.588,.478,.147,2.3,7.3,4.7,12.7,2.8,1.0,11.9,19.0,1.2,0.6,1.8,.115,2.5,-0.9,1.5,0.7
Joe Harris,SG,26,BRK,23,547,12.7,.606,.692,.148,2.1,10.4,6.2,8.5,1.2,0.8,9.8,16.3,0.8,0.3,1.1,.097,1.6,-1.1,0.5,0.3
Tobias Harris,PF,25,DET,25,831,18.7,.597,.413,.131,3.2,15.3,9.0,7.7,1.0,0.5,4.6,21.8,2.2,0.7,2.9,.169,3.1,-1.5,1.7,0.8
Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Andrew Harrison,PG,23,MEM,19,324,10.9,.508,.419,.301,2.2,10.2,6.2,17.6,1.7,1.4,14.6,17.6,0.1,0.2,0.3,.045,-1.9,-0.9,-2.8,-0.1
Josh Hart,SG,22,LAL,19,268,8.8,.533,.462,.269,2.7,13.4,8.0,4.5,2.1,1.2,12.1,10.2,0.1,0.3,0.4,.076,-3.1,1.0,-2.2,0.0
Udonis Haslem,C,37,MIA,2,9,10.8,1.000,.000,.000,0.0,12.5,6.3,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,.117,-2.2,-3.1,-5.3,0.0
Gordon Hayward,SF,27,BOS,1,5,7.5,.500,.500,.000,0.0,21.5,11.0,0.0,0.0,0.0,0.0,17.8,0.0,0.0,0.0,.066,-5.5,-5.8,-11.3,0.0
John Henson,C,27,MIL,23,535,14.4,.556,.016,.357,9.3,24.9,17.1,8.9,0.9,5.7,17.1,15.2,0.4,0.7,1.1,.094,-2.6,2.0,-0.6,0.2
Juan Hernangomez,PF,22,DEN,13,187,10.5,.539,.681,.149,7.0,13.9,10.4,5.9,0.8,0.9,7.4,12.4,0.3,0.1,0.3,.089,0.3,-2.2,-1.9,0.0
Willy Hernangomez,C,23,NYK,14,153,16.9,.555,.066,.246,14.6,23.1,19.0,14.1,1.6,3.7,21.9,24.7,0.0,0.2,0.2,.058,-1.2,2.1,0.9,0.1
Mario Hezonja,SF,22,ORL,20,197,7.9,.502,.455,.073,4.5,14.8,9.7,8.5,1.7,0.4,18.6,15.4,-0.1,0.1,0.0,.000,-3.3,-0.8,-4.1,-0.1
Buddy Hield,SG,24,SAC,23,525,17.3,.566,.402,.105,3.2,17.1,9.8,12.5,2.6,0.7,12.0,24.3,0.4,0.4,0.9,.079,1.3,-1.3,0.0,0.3
Nene Hilario,C,35,HOU,16,230,20.3,.703,.028,.620,5.9,18.8,12.5,12.1,1.9,2.2,17.4,20.6,0.7,0.4,1.1,.228,0.3,1.6,1.8,0.2
George Hill,PG,31,SAC,23,586,12.7,.553,.341,.218,2.1,11.6,6.6,14.6,1.7,1.0,13.1,16.4,0.5,0.2,0.7,.060,-0.6,-1.0,-1.6,0.1
Darrun Hilliard,SG,24,SAS,3,26,-7.9,.200,.400,.000,0.0,8.6,4.3,5.1,2.0,0.0,37.5,13.8,-0.1,0.0,-0.1,-0.206,-11.7,0.3,-11.4,-0.1
Jrue Holiday,PG,27,NOP,26,947,14.3,.544,.329,.159,1.9,10.9,6.5,22.7,1.5,0.9,14.6,21.3,0.9,0.5,1.4,.071,0.0,-0.9,-0.8,0.3
Justin Holiday,SG,28,CHI,23,794,12.0,.499,.557,.189,1.5,12.5,6.8,9.8,1.8,1.8,7.5,20.0,0.1,0.6,0.7,.041,-0.7,-0.3,-1.0,0.2
John Holland,SF,29,CLE,4,17,-1.1,.375,.500,.000,0.0,12.7,6.6,0.0,0.0,0.0,20.0,13.1,0.0,0.0,0.0,-0.133,-9.1,-5.0,-14.1,-0.1
Rondae Hollis-Jefferson,SF,23,BRK,21,573,17.8,.567,.083,.477,5.0,16.2,10.5,11.6,1.6,2.0,10.8,21.5,1.0,0.5,1.5,.130,-0.6,0.7,0.2,0.3
Richaun Holmes,C,24,PHI,10,131,17.0,.609,.205,.359,9.0,20.9,15.1,8.0,1.1,1.9,6.2,15.3,0.4,0.2,0.5,.186,0.4,-0.2,0.2,0.1
Rodney Hood,SG,25,UTA,18,509,15.6,.556,.479,.189,1.1,9.8,5.3,11.2,1.3,0.7,10.9,28.7,0.3,0.5,0.8,.075,0.7,-2.7,-2.1,0.0
Al Horford,C,31,BOS,25,817,19.7,.633,.325,.187,4.4,22.4,13.6,26.3,0.9,2.7,17.0,17.9,2.0,1.5,3.5,.204,2.4,3.3,5.7,1.6
Dwight Howard,C,32,CHO,24,713,17.3,.553,.004,.736,12.6,32.0,22.2,7.3,0.9,3.7,20.7,25.7,-0.2,1.2,1.0,.066,-4.0,1.8,-2.2,0.0
Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Josh Huestis,PF,26,OKC,18,201,3.6,.391,.739,.130,3.8,12.9,8.1,4.8,1.5,4.3,17.1,12.6,-0.3,0.3,0.0,.003,-5.6,1.6,-4.0,-0.1
Vince Hunter,PF,23,MEM,1,3,28.9,1.000,.000,.000,39.2,39.5,39.4,0.0,0.0,0.0,50.0,30.9,0.0,0.0,0.0,.000,-4.3,-10.9,-15.2,0.0
Serge Ibaka,PF,28,TOR,21,570,14.9,.592,.433,.157,3.4,19.9,11.9,3.1,0.7,4.2,9.7,19.2,0.7,0.7,1.4,.114,-0.1,0.0,-0.2,0.3
Andre Iguodala,SF,34,GSW,23,604,11.2,.546,.374,.313,4.6,11.1,8.2,13.3,1.3,1.8,13.8,10.9,0.8,0.6,1.4,.111,0.2,0.7,0.9,0.4
Ersan Ilyasova,PF,30,ATL,13,277,11.4,.444,.478,.144,7.6,18.9,13.2,5.2,3.0,1.3,5.0,15.9,0.0,0.3,0.3,.059,-1.8,0.4,-1.5,0.0
Joe Ingles,SF,30,UTA,26,774,14.1,.616,.687,.074,1.0,14.2,7.5,20.5,2.0,0.6,16.7,15.8,1.1,1.0,2.1,.130,2.1,0.7,2.8,0.9
Brandon Ingram,SF,20,LAL,24,812,12.8,.518,.123,.410,3.0,14.1,8.5,13.5,1.2,1.9,13.6,22.1,0.1,0.9,1.0,.060,-2.7,0.4,-2.3,-0.1
Kyrie Irving,PG,25,BOS,26,830,25.5,.602,.326,.253,1.9,8.4,5.2,30.2,2.3,0.8,10.2,31.0,2.8,1.3,4.1,.240,6.6,-0.4,6.2,1.7
Jonathan Isaac,PF,20,ORL,12,239,12.3,.543,.279,.230,5.1,19.0,12.1,5.9,1.6,4.8,15.2,14.4,0.1,0.3,0.3,.070,-2.9,2.2,-0.7,0.1
Wesley Iwundu,SF,23,ORL,9,57,1.2,.300,.059,.176,1.9,17.0,9.5,9.4,1.7,0.0,14.1,16.2,-0.2,0.0,-0.1,-0.126,-9.3,-0.7,-10.0,-0.1
Jarrett Jack,PG,34,NYK,22,573,10.4,.466,.188,.090,1.0,13.1,7.2,32.1,0.9,0.2,21.1,13.4,0.3,0.3,0.6,.052,-2.0,-0.8,-2.8,-0.1
Demetrius Jackson,PG,23,HOU,12,63,-0.6,.286,.429,.000,7.2,12.3,9.8,10.6,3.1,1.4,41.7,16.5,-0.3,0.1,-0.2,-0.146,-9.6,2.9,-6.7,-0.1
Josh Jackson,SF,20,PHO,27,584,7.9,.451,.275,.354,3.7,13.5,8.5,7.7,2.6,0.7,15.8,23.3,-1.1,0.4,-0.8,-0.063,-4.5,-1.5,-6.0,-0.6
Justin Jackson,SF,22,SAC,17,310,6.8,.485,.434,.094,2.5,8.2,5.2,3.5,0.5,0.6,10.5,17.9,-0.2,0.0,-0.3,-0.040,-3.5,-3.8,-7.4,-0.4
Reggie Jackson,PG,27,DET,25,701,19.3,.576,.298,.257,3.1,8.7,5.8,31.9,1.3,0.1,15.1,26.1,1.6,0.5,2.1,.144,3.1,-1.9,1.2,0.6
LeBron James,PF,33,CLE,26,968,31.4,.665,.258,.292,3.9,19.9,12.2,43.0,1.8,2.8,16.1,30.3,4.6,1.0,5.6,.280,9.2,1.8,11.0,3.2
Mike James,PG,27,PHO,27,580,13.8,.467,.317,.264,2.0,12.5,7.1,27.2,1.9,0.9,12.7,24.2,0.0,0.2,0.2,.018,-0.7,-1.9,-2.6,-0.1
Al Jefferson,C,33,IND,10,139,21.6,.578,.018,.211,9.0,28.3,18.8,12.4,1.7,4.2,11.4,22.1,0.3,0.2,0.5,.174,-0.7,1.8,1.1,0.1
Richard Jefferson,SF,37,DEN,8,56,4.7,.362,.385,.385,0.0,6.0,3.0,16.6,0.0,0.0,0.0,11.7,0.0,0.0,0.0,-0.001,-4.2,-4.8,-9.0,-0.1
Jonas Jerebko,PF,30,UTA,21,355,14.3,.624,.505,.101,5.7,20.0,12.7,7.5,1.1,0.8,8.0,14.4,0.7,0.4,1.2,.158,1.1,-0.1,0.9,0.3
Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Amir Johnson,C,30,PHI,22,332,14.4,.497,.136,.296,14.5,23.3,19.0,11.4,2.0,4.8,17.2,13.8,0.3,0.6,0.8,.122,-1.5,3.9,2.4,0.4
Brice Johnson,PF,23,LAC,7,28,19.6,.676,.125,.250,3.9,32.6,17.9,5.8,7.1,3.1,25.3,18.5,0.0,0.1,0.1,.156,-2.5,4.8,2.3,0.0
Dakari Johnson,C,22,OKC,11,76,14.9,.514,.000,.571,11.4,7.7,9.6,10.0,2.0,5.0,7.1,16.0,0.1,0.1,0.3,.165,-1.6,2.0,0.4,0.0
James Johnson,PF,30,MIA,23,631,15.0,.581,.330,.319,3.8,17.1,10.5,24.5,1.8,1.9,21.9,19.9,0.5,0.7,1.2,.091,-0.4,1.7,1.4,0.5
Joe Johnson,SF,36,UTA,7,134,8.1,.448,.370,.152,3.4,13.2,8.2,12.7,1.5,1.3,16.9,20.0,-0.2,0.2,0.0,-0.016,-4.5,-0.1,-4.6,-0.1
Stanley Johnson,SF,21,DET,22,651,7.3,.458,.491,.194,1.5,12.9,7.0,6.7,2.3,0.7,10.5,13.5,-0.2,0.7,0.5,.037,-2.5,1.5,-1.0,0.2
Tyler Johnson,PG,25,MIA,23,626,11.3,.520,.500,.216,1.8,11.0,6.4,11.7,1.2,2.2,10.9,18.4,0.2,0.5,0.7,.057,-1.3,0.1,-1.2,0.1
Wesley Johnson,SF,30,LAC,23,596,10.5,.531,.474,.164,2.0,13.4,7.6,6.4,2.0,3.8,12.8,13.7,0.2,0.5,0.6,.050,-1.5,1.4,-0.1,0.3
Nikola Jokic,C,22,DEN,21,618,24.8,.609,.286,.245,9.7,30.7,20.0,24.8,2.3,1.8,14.7,21.7,2.0,0.9,2.9,.222,4.6,2.3,7.0,1.4
Derrick Jones,SF,20,PHO,6,33,18.5,.678,.500,1.500,6.3,6.5,6.4,11.9,1.4,9.5,13.1,9.6,0.1,0.0,0.1,.175,0.9,3.1,4.0,0.1
Jalen Jones,SF,24,NOP,3,10,14.5,.644,.333,.667,0.0,21.6,11.1,0.0,0.0,0.0,0.0,16.9,0.0,0.0,0.0,.180,-2.8,-7.1,-9.9,0.0
Tyus Jones,PG,21,MIN,26,451,13.3,.539,.400,.259,1.5,11.2,6.3,22.0,3.1,0.4,13.7,10.7,0.7,0.3,1.0,.109,0.5,0.0,0.4,0.3
DeAndre Jordan,C,29,LAC,23,746,19.2,.683,.000,.412,16.4,32.6,24.3,4.3,0.7,2.9,19.6,13.2,1.8,0.7,2.5,.164,0.5,0.3,0.8,0.5
Cory Joseph,PG,26,IND,26,637,12.4,.540,.382,.174,0.9,10.8,5.9,16.4,2.1,0.8,12.7,15.1,0.6,0.5,1.1,.086,-0.3,-0.1,-0.5,0.2
Frank Kaminsky,PF,24,CHO,22,513,12.8,.521,.360,.232,2.5,15.6,9.0,10.0,0.7,0.7,7.8,20.4,0.4,0.4,0.8,.073,-1.1,-0.9,-2.1,0.0
Enes Kanter,C,25,NYK,21,547,24.5,.659,.005,.241,17.1,28.5,23.0,8.4,1.2,1.7,14.7,20.6,1.8,0.7,2.5,.223,3.3,0.7,4.1,0.8
Luke Kennard,SG,21,DET,20,322,10.5,.532,.427,.136,1.0,10.2,5.4,11.1,1.9,0.3,14.6,18.6,0.0,0.3,0.3,.043,-2.1,-0.9,-2.9,-0.1
Michael Kidd-Gilchrist,SF,24,CHO,18,472,12.1,.506,.007,.228,4.0,14.0,9.0,4.4,1.1,2.7,4.7,15.7,0.3,0.5,0.8,.086,-3.2,1.3,-2.0,0.0
Sean Kilpatrick,SG,28,BRK,16,183,5.4,.419,.488,.221,0.6,19.6,9.9,12.1,0.5,0.4,14.5,25.1,-0.5,0.1,-0.4,-0.093,-6.4,-2.7,-9.1,-0.3
Maxi Kleber,PF,26,DAL,20,322,13.0,.592,.338,.221,7.2,15.1,11.0,3.9,0.8,2.9,8.7,13.0,0.5,0.3,0.8,.116,-1.3,0.6,-0.7,0.1
Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Furkan Korkmaz,SG,20,PHI,5,12,8.1,.291,.667,.333,8.9,16.9,13.0,11.1,3.9,0.0,0.0,23.8,0.0,0.0,0.0,-0.019,-3.2,-1.3,-4.6,0.0
Kyle Korver,SG,36,CLE,26,579,15.0,.663,.801,.177,0.6,10.1,5.5,6.6,0.9,1.7,7.8,16.7,1.3,0.2,1.6,.131,3.2,-2.5,0.7,0.4
Kosta Koufos,C,28,SAC,25,459,14.0,.516,.000,.378,9.9,26.4,17.8,8.7,1.4,2.9,11.6,12.7,0.4,0.4,0.9,.089,-2.6,1.4,-1.1,0.1
Kyle Kuzma,PF,22,LAL,23,699,15.0,.582,.346,.216,5.1,16.9,11.0,8.0,0.6,0.3,12.3,21.7,0.8,0.6,1.4,.099,0.0,-1.8,-1.8,0.0
Mindaugas Kuzminskas,SF,28,NYK,1,2,-41.9,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.7,0.0,0.0,0.0,-1.027,-36.4,-12.0,-48.5,0.0
Skal Labissiere,PF,21,SAC,23,393,13.8,.501,.057,.253,8.5,19.4,13.7,6.7,1.2,3.7,12.5,22.9,0.0,0.3,0.2,.030,-3.9,-0.9,-4.8,-0.3
Jeremy Lamb,SG,25,CHO,24,654,17.5,.551,.300,.279,1.6,17.6,9.6,19.5,1.5,1.5,11.0,23.9,0.9,0.8,1.7,.121,0.9,0.8,1.7,0.6
Shane Larkin,PG,25,BOS,18,178,7.6,.406,.417,.200,0.6,8.5,4.6,18.0,2.0,0.0,5.8,17.4,-0.1,0.3,0.2,.056,-3.4,-0.9,-4.4,-0.1
Joffrey Lauvergne,C,26,SAS,12,135,10.9,.453,.071,.238,14.2,21.6,17.9,10.1,1.5,0.0,16.2,18.5,0.0,0.2,0.2,.063,-3.3,-0.2,-3.4,0.0
Jake Layman,SF,23,POR,10,48,10.3,.438,.375,.000,0.0,11.2,5.7,6.4,3.1,3.3,0.0,14.5,0.0,0.1,0.1,.096,-3.3,2.3,-1.1,0.0
T.J. Leaf,PF,20,IND,22,229,10.1,.527,.314,.100,6.9,11.9,9.5,3.0,1.1,0.7,7.6,15.1,0.2,0.1,0.3,.064,-1.6,-2.3,-3.9,-0.1
Courtney Lee,SG,32,NYK,24,779,15.6,.614,.360,.167,1.7,10.6,6.3,13.1,2.1,0.4,10.5,16.1,1.6,0.7,2.3,.140,2.7,0.5,3.2,1.0
Alex Len,C,24,PHO,23,510,18.3,.584,.000,.645,14.4,28.2,21.2,5.1,0.6,3.4,14.1,16.7,1.1,0.4,1.5,.138,-1.0,-0.5,-1.5,0.1
Meyers Leonard,PF,25,POR,9,91,21.4,.688,.353,.206,4.9,23.5,14.4,7.9,1.1,0.0,5.1,18.7,0.4,0.1,0.5,.263,3.1,-1.3,1.8,0.1
Jon Leuer,PF,28,DET,8,136,8.9,.505,.083,.417,5.6,21.5,13.3,5.2,0.4,1.9,15.8,16.3,0.0,0.1,0.1,.046,-5.3,-0.2,-5.5,-0.1
Caris LeVert,SF,23,BRK,24,626,12.5,.501,.359,.266,2.1,13.1,7.5,20.9,2.4,1.4,16.2,21.0,-0.1,0.6,0.5,.040,-1.5,0.8,-0.7,0.2
DeAndre Liggins,SG,29,MIL,21,340,5.2,.435,.566,.094,0.7,10.6,5.6,6.7,3.0,2.1,17.9,9.1,-0.3,0.4,0.0,.006,-3.5,1.1,-2.4,0.0
