Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Nicolas Batum,SG,29,CHO,11,334,11.2,.469,.409,.235,2.2,13.7,7.9,23.2,1.5,1.0,15.9,19.5,-0.1,0.3,0.2,.030,-1.8,0.6,-1.2,0.1
Jerryd Bayless,SG,29,PHI,18,498,8.7,.574,.518,.226,1.5,8.0,4.8,9.3,0.9,0.5,14.7,14.7,0.3,0.3,0.6,.061,-1.0,-1.3,-2.3,0.0
Aron Baynes,C,31,BOS,27,471,13.5,.517,.023,.320,12.0,19.9,16.0,7.8,1.0,3.2,15.1,16.3,0.4,0.9,1.2,.127,-2.9,2.4,-0.4,0.2
Kent Bazemore,SG,28,ATL,24,690,13.1,.506,.354,.337,1.8,15.8,8.7,17.8,3.1,1.5,17.0,21.6,-0.2,0.7,0.5,.035,-1.9,1.2,-0.7,0.2
Bradley Beal,SG,24,WAS,25,870,20.4,.572,.328,.311,2.6,10.6,6.6,16.8,1.5,1.3,11.1,29.6,1.6,0.8,2.4,.132,3.1,-1.3,1.8,0.8
Malik Beasley,SG,21,DEN,22,213,10.9,.541,.462,.215,3.6,15.4,9.4,10.2,0.9,0.4,13.4,16.6,0.1,0.1,0.2,.054,-1.5,-2.6,-4.1,-0.1
Michael Beasley,PF,29,NYK,18,275,13.8,.554,.094,.195,7.7,18.1,13.0,10.6,0.4,2.4,20.6,27.8,-0.2,0.2,0.0,-0.001,-3.4,-1.0,-4.4,-0.2
Marco Belinelli,SG,31,ATL,24,617,15.2,.554,.513,.218,0.9,9.8,5.3,15.0,2.1,0.1,8.7,20.3,0.9,0.3,1.2,.091,1.3,-2.0,-0.7,0.2
Jordan Bell,C,23,GSW,21,222,21.8,.730,.000,.036,12.1,18.3,15.5,13.6,2.3,7.9,19.8,13.8,0.6,0.5,1.1,.233,2.2,5.0,7.2,0.5
DeAndre' Bembry,SF,23,ATL,10,173,6.0,.451,.193,.246,1.3,17.8,9.4,12.1,2.8,2.7,25.8,21.6,-0.6,0.2,-0.4,-0.100,-8.0,1.5,-6.4,-0.2
Dragan Bender,PF,20,PHO,27,553,7.1,.507,.654,.126,2.1,14.8,8.3,6.3,0.7,2.7,16.2,12.0,-0.1,0.2,0.0,.003,-2.5,-0.4,-2.9,-0.1
Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Davis Bertans,PF,25,SAS,22,194,14.0,.586,.797,.145,1.2,13.9,7.5,8.0,1.3,3.5,9.8,18.9,0.2,0.3,0.5,.132,1.0,-0.6,0.4,0.1
Patrick Beverley,SG,29,LAC,11,334,13.2,.530,.504,.143,5.2,9.9,7.5,14.8,2.8,1.3,16.5,19.8,0.2,0.2,0.4,.055,0.8,-0.2,0.6,0.2
Khem Birch,C,25,ORL,3,10,10.7,.400,.000,.000,22.0,0.0,10.9,15.9,0.0,0.0,0.0,21.7,0.0,0.0,0.0,.052,0.5,-4.3,-3.8,0.0
Jabari Bird,SG,23,BOS,2,16,3.2,.469,1.000,5.000,0.0,6.7,3.4,0.0,0.0,0.0,0.0,8.9,0.0,0.0,0.0,.059,-3.7,-2.8,-6.5,0.0
Bismack Biyombo,C,25,ORL,27,418,10.5,.526,.012,.593,9.5,22.2,15.9,2.6,0.6,5.7,21.1,14.3,-0.1,0.4,0.4,.041,-5.5,1.4,-4.1,-0.2
Nemanja Bjelica,PF,29,MIN,18,275,18.1,.725,.494,.145,3.4,18.3,10.8,7.3,1.8,1.3,12.8,16.2,0.7,0.2,0.9,.164,3.2,-1.1,2.1,0.3
Tarik Black,C,26,HOU,18,159,14.3,.571,.143,.429,12.2,23.7,18.0,5.6,1.8,4.8,18.1,16.6,0.2,0.3,0.5,.151,-2.9,2.7,-0.2,0.1
Antonio Blakeney,SG,21,CHI,11,163,8.4,.457,.364,.247,1.9,11.7,6.5,7.3,0.6,0.0,8.6,25.3,-0.2,0.0,-0.2,-0.056,-4.8,-4.6,-9.4,-0.3
Eric Bledsoe,PG,28,TOT,17,518,19.3,.540,.329,.397,3.3,11.0,7.2,22.6,3.1,2.2,14.3,28.1,0.4,0.5,1.0,.090,1.3,-0.8,0.5,0.3
Eric Bledsoe,PG,28,PHO,3,83,13.4,.509,.325,.350,3.7,5.1,4.4,17.1,2.3,1.9,17.8,28.0,-0.1,0.0,0.0,-0.016,-1.8,-2.8,-4.6,0.0
Eric Bledsoe,PG,28,MIL,14,435,20.4,.546,.330,.407,3.3,12.2,7.7,23.6,3.2,2.3,13.6,28.1,0.5,0.5,1.0,.110,1.9,-0.4,1.5,0.4
Vander Blue,SG,25,LAL,4,28,-3.1,.333,.000,.000,0.0,3.8,1.9,4.5,0.0,0.0,40.0,7.4,-0.1,0.0,-0.1,-0.097,-9.4,-1.2,-10.5,-0.1
Bogdan Bogdanovic,SG,25,SAC,22,521,12.5,.529,.370,.168,1.5,9.5,5.3,14.7,2.6,1.5,15.8,20.2,-0.1,0.3,0.2,.023,-1.3,-0.8,-2.2,0.0
Bojan Bogdanovic,SF,28,IND,26,819,14.3,.626,.465,.185,1.0,9.7,5.4,5.8,0.9,0.1,8.3,18.0,1.5,0.3,1.9,.110,2.0,-2.4,-0.4,0.3
Andrew Bogut,C,33,LAL,15,123,11.2,.600,.000,.000,10.2,29.1,19.7,10.7,1.5,6.5,42.3,8.8,0.0,0.3,0.2,.089,-5.3,5.7,0.4,0.1
Joel Bolomboy,PF,24,MIL,5,31,8.1,.377,.250,1.500,19.1,11.6,15.4,0.0,3.3,0.0,23.1,12.9,0.0,0.0,0.0,.011,-4.8,-4.0,-8.8,-0.1
Devin Booker,SG,21,PHO,25,851,19.4,.573,.345,.294,1.7,12.4,7.0,20.8,1.3,0.7,13.0,29.7,1.5,0.2,1.7,.096,3.5,-2.8,0.7,0.6
Trevor Booker,PF,30,BRK,18,395,15.5,.536,.087,.287,9.8,21.6,15.6,15.5,0.9,1.0,15.1,20.9,0.3,0.3,0.7,.083,-1.2,0.4,-0.7,0.1
Avery Bradley,SG,27,DET,25,795,12.7,.538,.342,.194,2.2,7.1,4.5,10.0,2.1,0.4,14.0,24.0,0.1,0.7,0.8,.048,-0.9,-1.0,-1.9,0.0
Tony Bradley,C,20,UTA,7,21,2.2,.202,.111,.222,16.1,28.2,22.0,6.5,0.0,0.0,0.0,21.3,-0.1,0.0,-0.1,-0.126,-10.5,-3.4,-13.8,-0.1
Corey Brewer,SF,31,LAL,24,284,8.0,.493,.286,.321,1.8,9.3,5.6,8.5,3.3,1.1,16.9,11.2,-0.1,0.4,0.3,.057,-3.9,1.9,-2.0,0.0
